,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31
0,Mevsimlik Ürünler Hariç TÜFE,3.613171739756793,2.4301895232416992,2.6953109929809926,1.944156329084823,1.7538618158469799,2.810346402145658
1,TÜFE B,3.758555437121802,2.6257798898194906,2.2244147070669573,1.90834830072808,1.6473949886432804,2.101976493339719
2,TÜFE C,3.1144365423489084,2.877345121997066,2.3138880939515216,2.2099483548124077,1.9608922411852525,2.213145381747461
3,TÜFE D,3.8884757029144623,2.265467229729512,2.500325967314865,1.9341129761359266,1.7129300895128763,2.7019910011351955
4,TÜFE E,3.3998316354479474,3.1828481555657984,2.389145132055126,1.4227289329079795,1.3461097191087346,2.2550602318438306
5,TÜFE F,3.7722750393375026,3.6923156572391536,1.9721542058240393,1.156165759488581,1.3589408330091368,1.7327652608814637
6,Mallar,3.5987663001305403,3.790944886556913,2.134310018561636,0.9201735868307193,0.5425938457724655,1.9938220436841902
7,Enerji,4.687495577400136,0.06917912296817708,4.225112474237536,2.0920823354500406,2.1140182608571756,6.374045357823377
8,Gıda ve alkolsüz içecekler,3.4246050585065246,5.117009754623347,1.789464044902922,-0.3910242126241248,-0.21158412847868124,0.5561762271076853
9,Taze meyve ve sebze,-3.429531445473244,16.149148179003305,-1.6407328365023566,-5.549800514801994,-4.947282040479816,-3.305568074103349
10,İşlenmemiş gıda,-0.316409073446422,10.454023401132106,1.5732538267553497,-2.3642721272605582,-1.4899311108143687,-1.291748556744421
11,Diğer işlenmemiş gıda,2.8748418152226174,4.973738227057467,4.995248669237751,0.813058417740975,1.7408718419095193,0.48821129585359113
12,İşlenmiş Gıda,5.880228010051369,1.8187910158613319,1.9344116221398977,0.9271564692287626,0.6145351774026864,1.7310298594103601
13,Ekmek ve tahıllar,8.04442891192274,1.1888336841313407,2.727678422340274,0.1689780214422898,2.0560538636221093,3.3406845323839196
14,Diğer işlenmiş gıda,5.397739458127182,1.9627609003874724,1.7544952009667325,1.1007593107238423,0.2875075101526736,1.3621030802583256
15,Enerji ve gıda dışı mallar,3.369633727373267,4.0017608793752935,1.7238805116148725,1.5909873023085552,0.6099407989369032,1.6290541086847687
16,Temel mallar,3.7335942537100264,3.2436814515520718,1.7947803192269962,1.7277244180124995,0.6615763938446539,1.2659768264400295
17,Giyim ve ayakkabı,4.509273205853326,6.590836512095644,1.1260566234920777,-0.02554007004409442,0.48650697540284504,1.0410243360653881
18,Dayanıklı Mallar (altın hariç),1.6354795656141174,1.1863172149654488,2.582735529839164,2.619038933056639,0.8487755087611015,1.6370025700163549
19,Diğer Temel Mallar,7.324073386537799,3.8734075523835676,0.9763676664453325,1.8381198568022672,0.4726261101055451,0.7606348821613595
20,"Alkollü içecekler, tütün ve altın",0.8750570895118104,9.344856052826046,1.252047437336734,0.6761340546548977,0.26085916207700954,4.092336872346158
21,Hizmet,2.371743675102511,2.4320711784639792,2.9498518321427136,2.7940969920463132,3.518508576000512,3.3191841249939014
22,Kira,4.220782643345111,3.6610983570642297,4.30434925297547,3.5997193681023054,4.590043389570964,5.909706523544123
23,Lokanta ve oteller,3.5612199213409745,1.0735711278161197,4.201151854010132,4.671679792287908,3.682922295320723,2.1812277543249214
24,Ulaştırma hizmetleri,6.308859787014542,1.35830249106621,5.361557168319164,0.6303108363094667,11.754729482524073,1.9879315419530474
25,Haberleşme hizmetleri,-1.3700262441556643,-2.2837859713732978,-3.5407054805593474,0.005503952456353822,0.038207870407513944,0.15283148163001137
26,Diğer hizmetler,-1.629945299332769,5.73240798123158,1.095528921186384,0.06514747058503634,0.5166090214203445,2.9251382375518054
27,TÜFE,3.28787735136018,3.4497028244895533,2.3370952866494488,1.3889164238195084,1.2973054552010366,2.336923839502414
