,Alkollü içecekler ve tütün,Ev eşyası,Eğitim,Eğlence ve kültür,Giyim ve ayakkabı,Gıda ve alkolsüz içecekler,Haberleşme,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",Lokanta ve oteller,Sağlık,Ulaştırma,Çeşitli mal ve hizmetler,Web TÜFE
2025-02-28,0.0,0.48,0.17,0.07,0.35,0.96,-0.04,0.82,0.31,-0.31,0.27,0.2,3.29
2025-03-31,0.38,0.29,0.18,0.03,0.52,1.44,-0.05,0.39,0.09,-0.01,0.02,0.19,3.45
2025-04-30,0.0,0.07,0.0,0.02,0.09,0.51,-0.07,0.83,0.36,0.0,0.42,0.11,2.34
2025-05-31,0.0,0.13,0.0,0.03,-0.0,-0.11,-0.0,0.59,0.4,0.0,0.3,0.05,1.39
2025-06-30,0.0,0.04,0.0,0.01,0.04,-0.06,-0.01,0.52,0.33,-0.0,0.37,0.06,1.3
2025-07-31,0.2,0.11,0.1,0.02,0.05,0.19,0.01,0.94,0.22,0.0,0.44,0.04,2.32
2025-08-31,0.26,0.11,-0.0,0.02,-0.29,0.58,0.06,0.39,0.37,-0.0,0.4,0.06,1.94
2025-09-30,0.01,0.07,0.66,0.02,0.1,0.78,0.07,0.48,0.14,0.0,0.17,0.12,2.61
2025-10-31,0.07,0.1,0.01,0.02,0.89,1.14,0.0,0.39,0.08,0.0,0.25,0.13,3.09
2025-11-30,0.14,-0.0,-0.0,-0.0,-0.08,0.41,0.04,0.34,0.05,-0.0,0.24,0.0,1.14
2025-12-31,-0.0,0.1,0.0,0.04,0.04,0.45,0.07,0.26,0.08,-0.0,-0.16,0.06,0.94
