,Web TÜFE
2026-01-01,2.4335145805361336
2026-01-02,2.773408712311698
2026-01-03,2.89863670244056
2026-01-04,3.0258217956746436
2026-01-05,3.2961349672298024
2026-01-06,3.3363555299453007
2026-01-07,3.4620584141514588
2026-01-08,3.5382881142814404
2026-01-09,3.597504879248581
2026-01-10,3.6148377539535037
2026-01-11,3.674485764984836
2026-01-12,3.767723665332523
2026-01-13,3.8915103863103817
2026-01-14,3.9990668064291968
2026-01-15,4.0624250864088385
2026-01-16,4.124671197217255
2026-01-17,4.135155850755778
2026-01-18,4.160306609914278
2026-01-19,4.236828868903785
2026-01-20,4.264391222611319
