,Mevsimlik Ürünler Hariç TÜFE,TÜFE B,TÜFE C,TÜFE D,TÜFE E,TÜFE F,Mallar,Enerji,Gıda ve alkolsüz içecekler,Taze meyve ve sebze,İşlenmemiş gıda,Diğer işlenmemiş gıda,İşlenmiş Gıda,Ekmek ve tahıllar,Diğer işlenmiş gıda,Enerji ve gıda dışı mallar,Temel mallar,Giyim ve ayakkabı,Dayanıklı Mallar (altın hariç),Diğer Temel Mallar,"Alkollü içecekler, tütün ve altın",Hizmet,Kira,Lokanta ve oteller,Ulaştırma hizmetleri,Haberleşme hizmetleri,Diğer hizmetler,TÜFE
2024-12-31,99.99999999999999,100.0,100.00000000000001,100.0,100.00000000000003,99.99999999999997,100.0,100.0,100.0,100.0,100.00000000000001,100.0,99.99999999999999,100.0,100.00000000000001,100.00000000000003,100.00000000000001,100.0,100.0,99.99999999999997,100.0,100.0,100.0,100.0,100.00000000000001,100.0,100.0,100.0
2025-01-01,101.01076273435417,101.11641614382,101.39048892611083,100.96287877749131,100.91061596640135,100.28179682766422,100.19339641280314,100.0,100.33215580504115,100.87672471914388,100.54081638379782,100.2382768483463,100.18130497042976,99.9993968693394,100.22411455519794,100.14593887110273,100.02151377200776,100.0,100.0,100.08986363660209,101.00423872834502,103.10255865476796,100.0,100.0,108.06134499539043,100.0,115.28851314094851,100.9148251881441
2025-01-02,101.08215199901784,101.17340443591833,101.39048892611083,101.0120296405729,100.98039188151996,100.35867420714797,100.282010121723,100.0,100.56859771992154,100.91348609458998,100.7565304043381,100.61516653622702,100.43273208366219,100.28472209043443,100.46756421215808,100.14593887110273,100.02151377200776,100.0,100.0,100.08986363660209,101.00423872834502,103.10255865476796,100.0,100.0,108.06134499539043,100.0,115.28851314094851,100.98146402107312
2025-01-03,101.08792413815132,101.16515026818516,101.39048892611083,101.00491064379011,101.00306351175318,100.38358869259008,100.3108025386882,100.0,100.645422562085,101.02953376690097,100.98999363200484,100.95438137477744,100.39631545335321,100.27693504077645,100.42441000143123,100.14593887110273,100.02151377200776,100.0,100.0,100.08986363660209,101.00423872834502,103.10255865476796,100.0,100.0,108.06134499539043,100.0,115.28851314094851,101.00311634876772
2025-01-04,101.1160964284583,101.19638826378295,101.39048892611083,101.03185257147449,100.99692716597032,100.37726210834953,100.30300952933663,100.0,100.6246290068188,100.50711389049275,100.74980306169167,100.96838373203434,100.53413462229348,100.28103189721041,100.5936988885332,100.14593887110273,100.02151377200776,100.0,100.0,100.08986363660209,101.00423872834502,103.10255865476796,100.0,100.0,108.06134499539043,100.0,115.28851314094851,100.9972558893137
2025-01-05,101.1152732094811,101.19856737307526,101.39048892611083,101.03373199439662,100.98206070959192,100.36088261398339,100.28412949263706,100.0,100.5742526927624,100.17243727077869,100.6164466303861,101.01634854188035,100.54374865244952,100.28103189721041,100.60557544925526,100.14593887110273,100.02151377200776,100.0,100.0,100.08986363660209,101.00423872834502,103.10255865476796,100.0,100.0,108.06134499539043,100.0,115.28851314094851,100.98305781966228
2025-01-06,102.02868196076822,101.43079643766993,101.69078226763152,101.97079104139773,101.80308634379598,100.63651687331594,101.1210454396018,105.35725882003786,100.5742526927624,100.17243727077869,100.6164466303861,101.01634854188035,100.54374865244952,100.28103189721041,100.60557544925526,100.1821555036969,100.0629806188032,100.0,100.08220901830953,100.08986363660209,101.00423872834502,103.72654596930593,100.7816400432916,100.0,108.06134499539043,100.0,117.46958583373257,101.76717064677663
2025-01-07,102.14703861701857,101.52241092709532,101.78174735065913,102.08086281184212,101.95510337415308,100.79612830528443,101.2512074844574,105.58308172395763,100.81703310754834,101.11532274320317,101.06525863377361,101.02016784317442,100.63757885688875,100.48973295791716,100.67237236804473,100.19192991234641,100.074149344192,100.00532062158953,100.08531242781095,100.12428345234818,101.00439496616764,103.9173060909514,100.96908228132912,100.18172143253577,108.08657424331197,100.0,117.85287524767811,101.91236010938708
2025-01-08,102.06159377175011,101.41712008641686,101.64270076235779,101.99005288621363,102.0090392749424,100.85555375992945,101.4234829282363,105.58308595069914,101.27514819702388,103.07699174322016,102.1433825771994,101.30251721704039,100.64745952833384,100.49478030894772,100.68339049537423,100.19316332823584,100.07556097311209,100.00645469544824,100.08585522572164,100.12782265537399,101.00439904633728,103.60259943962758,101.16077380166462,100.20441420022888,108.08657424331197,100.0,115.67079544266163,101.9638712687218
2025-01-09,102.31821986050481,101.63552376690508,101.87073935132076,102.25961387174753,102.55829974943593,101.4937358136322,101.97554795634692,106.17346970739275,102.44372438927851,107.59322911297912,104.67173204661259,102.0404535927128,100.83298978558754,100.67498649241271,100.87017370060991,100.24348256025804,100.13310635502758,100.01008812335728,100.15872109768283,100.21078031201996,101.00487139483684,104.04386049493895,101.14692790448214,100.61787328755638,106.07020210216078,100.0,117.98795356228172,102.48845856690508
